# X_0;X_1;X_2;X_3;X_4;X_5;X_6;X_7;X_8;X_9;R_0;R_1;R_2;R_3;R_4;R_5;R_6;R_7;R_8;R_9;R_10;R_11;R_12;R_13;R_14;S_0;S_1;S_2;S_3;S_4;S_5;S_6;S_7;S_8;S_9;S_10;S_11;S_12;S_13;S_14;G_0;G_1;G_2;G_3;G_4;G_5;G_6;G_7;G_8;G_9;G_10;G_11;G_12;G_13;G_14;I_0;I_1;I_2;I_3;I_4;I_5;I_6;I_7;I_8;I_9;I_10;I_11;I_12;I_13;I_14
198829433700.56;225549023.90;12058.42;0.95;1.01;130.07;5.99;98.89;7.27;2607.25;26479.94;26479.94;26479.94;26479.94;26479.94;99764.17;99764.17;99764.17;99764.17;99764.17;0.01;0.01;0.01;0.01;0.01;15354.01;15802.58;15587.45;15587.45;16145.52;14741.79;14741.79;14741.79;14741.79;14741.79;0.00;0.00;0.00;0.00;0.00;-11125.93;-10677.37;-10892.50;-10892.50;-10334.42;-85022.39;-85022.39;-85022.39;-85022.39;-85022.39;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
208781944400.79;249326421.71;12152.65;1.03;1.02;126.00;5.45;109.48;7.10;2067.76;32055.19;32055.19;32055.19;32055.19;32055.19;105637.07;105637.07;105637.07;105637.07;105637.07;0.02;0.02;0.02;0.02;0.02;15109.38;15550.88;15339.02;15339.02;15888.37;14506.92;14506.92;14506.92;14506.92;14506.92;0.00;0.00;0.00;0.00;0.00;-16945.81;-16504.31;-16716.17;-16716.17;-16166.82;-91130.15;-91130.15;-91130.15;-91130.15;-91130.15;-0.02;-0.02;-0.02;-0.02;-0.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
180692929847.71;239829241.64;16429.96;1.00;1.02;146.11;5.40;101.75;6.77;2232.59;32091.80;32091.80;32091.80;32091.80;32091.80;113241.56;113241.56;113241.56;113241.56;113241.56;0.01;0.01;0.01;0.01;0.01;19737.02;20312.54;20038.20;20038.20;20753.31;18949.91;18949.91;18949.91;18949.91;18949.91;0.00;0.00;0.00;0.00;0.00;-12354.78;-11779.26;-12053.60;-12053.60;-11338.49;-94291.65;-94291.65;-94291.65;-94291.65;-94291.65;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
206469715625.55;260659408.93;14598.86;1.01;0.95;138.09;5.44;108.25;6.94;628.09;35659.95;35659.95;35659.95;35659.95;35659.95;119174.20;119174.20;119174.20;119174.20;119174.20;0.02;0.02;0.02;0.02;0.02;15045.59;15484.65;15274.84;15274.84;15820.67;14445.61;14445.61;14445.61;14445.61;14445.61;0.00;0.00;0.00;0.00;0.00;-20614.36;-20175.30;-20385.11;-20385.11;-19839.27;-104728.59;-104728.59;-104728.59;-104728.59;-104728.59;-0.02;-0.02;-0.02;-0.02;-0.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
204391043256.37;264448946.25;12605.35;1.02;1.02;141.34;5.31;101.17;6.83;3980.21;34835.28;34835.28;34835.28;34835.28;34835.28;121628.11;121628.11;121628.11;121628.11;121628.11;0.02;0.02;0.02;0.02;0.02;17554.63;18066.78;17822.25;17822.25;18458.83;16854.59;16854.59;16854.59;16854.59;16854.59;0.00;0.00;0.00;0.00;0.00;-17280.64;-16768.49;-17013.03;-17013.03;-16376.44;-104773.53;-104773.53;-104773.53;-104773.53;-104773.53;-0.02;-0.02;-0.02;-0.02;-0.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
202849235861.66;255042848.67;11917.26;1.00;1.02;132.93;5.70;102.05;7.21;2339.10;32761.85;32761.85;32761.85;32761.85;32761.85;116104.22;116104.22;116104.22;116104.22;116104.22;0.02;0.02;0.02;0.02;0.02;15191.17;15634.78;15422.33;15422.33;15974.08;14585.41;14585.41;14585.41;14585.41;14585.41;0.00;0.00;0.00;0.00;0.00;-17570.68;-17127.06;-17339.52;-17339.52;-16787.77;-101518.81;-101518.81;-101518.81;-101518.81;-101518.81;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
213112973151.19;233251530.23;13493.79;1.05;0.98;131.99;5.89;98.49;6.95;3578.90;29562.61;29562.61;29562.61;29562.61;29562.61;114207.12;114207.12;114207.12;114207.12;114207.12;0.02;0.02;0.02;0.02;0.02;17357.34;17864.37;17621.29;17621.29;18252.06;16665.23;16665.23;16665.23;16665.23;16665.23;0.00;0.00;0.00;0.00;0.00;-12205.27;-11698.24;-11941.31;-11941.31;-11310.55;-97541.89;-97541.89;-97541.89;-97541.89;-97541.89;-0.02;-0.02;-0.02;-0.02;-0.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
209663866482.95;270196605.60;11674.66;0.97;1.00;137.40;5.73;104.76;7.26;3723.06;35798.12;35798.12;35798.12;35798.12;35798.12;123366.09;123366.09;123366.09;123366.09;123366.09;0.01;0.01;0.01;0.01;0.01;16036.59;16504.62;16280.88;16280.88;16862.78;15397.09;15397.09;15397.09;15397.09;15397.09;0.00;0.00;0.00;0.00;0.00;-19761.53;-19293.50;-19517.24;-19517.24;-18935.34;-107969.00;-107969.00;-107969.00;-107969.00;-107969.00;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
200829677485.21;252954915.32;13631.02;0.91;1.05;134.52;5.83;100.73;6.52;3668.11;27396.91;27396.91;27396.91;27396.91;27396.91;108325.47;108325.47;108325.47;108325.47;108325.47;0.01;0.01;0.01;0.01;0.01;18883.76;19435.29;19171.03;19171.03;19857.07;18130.78;18130.78;18130.78;18130.78;18130.78;0.00;0.00;0.00;0.00;0.00;-8513.15;-7961.62;-8225.88;-8225.88;-7539.84;-90194.69;-90194.69;-90194.69;-90194.69;-90194.69;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
206521514834.98;249226620.90;14743.57;1.02;1.00;139.69;6.04;100.48;7.07;1809.82;33882.06;33882.06;33882.06;33882.06;33882.06;128230.34;128230.34;128230.34;128230.34;128230.34;0.02;0.02;0.02;0.02;0.02;17269.47;17773.49;17532.55;17532.55;18159.19;16580.82;16580.82;16580.82;16580.82;16580.82;0.00;0.00;0.00;0.00;0.00;-16612.59;-16108.57;-16349.51;-16349.51;-15722.87;-111649.52;-111649.52;-111649.52;-111649.52;-111649.52;-0.02;-0.02;-0.02;-0.02;-0.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
