# X_0;X_1;R_0;S_0;G_0;I_0
15861;25945;143000;146694;-3694;0
13133;27061;143000;145241;-2241;0
15961;18974;143000;144594;-1594;0
12527;14961;143000;141083;1916;1
17136;17835;143000;145015;-2015;0
18991;20427;143000;147043;-4043;0
12390;15345;143000;141112;1887;1
12574;18732;143000;142286;713;1
17720;29494;143000;149022;-6022;0
12815;20637;143000;143036;-36;0
13258;24569;143000;144550;-1550;0
18048;25637;143000;148040;-5040;0
13602;20905;143000;143639;-639;0
16073;19910;143000;144959;-1959;0
19902;24112;143000;148789;-5789;0
16252;14430;143000;143375;-375;0
16780;29354;143000;148358;-5358;0
17755;20576;143000;146275;-3275;0
15051;9187;143000;140954;2045;1
17268;26400;143000;147763;-4763;0
15542;20766;143000;144875;-1875;0
13601;20404;143000;143482;-482;0
15713;16738;143000;143736;-736;0
17071;29621;143000;148633;-5633;0
13560;16364;143000;142200;799;1
15001;20252;143000;144358;-1358;0
12127;14735;143000;140749;2250;1
10052;18678;143000;140606;2393;1
13579;16184;143000;142157;842;1
12042;20173;143000;142383;616;1
16581;24117;143000;146601;-3601;0
16083;22919;143000;145900;-2900;0
16689;21124;143000;145742;-2742;0
9234;10929;143000;137660;5339;1
13965;24816;143000;145093;-2093;0
13381;16641;143000;142168;831;1
13365;24408;143000;144570;-1570;0
11410;24770;143000;143394;-394;0
14816;18761;143000;143773;-773;0
10671;22859;143000;142313;686;1
11474;23805;143000;143136;-136;0
18310;18259;143000;145921;-2921;0
13345;16745;143000;142177;822;1
18736;24678;143000;148196;-5196;0
15090;20430;143000;144472;-1472;0
15066;23801;143000;145503;-2503;0
17301;10985;143000;142996;3;1
16360;17803;143000;144494;-1494;0
20015;24048;143000;148843;-5843;0
17770;22013;143000;146731;-3731;0
15889;21812;143000;145428;-2428;0
12875;19292;143000;142658;341;1
16614;15514;143000;143950;-950;0
14702;19513;143000;143931;-931;0
13490;17982;143000;142657;342;1
12340;21073;143000;142859;140;1
14924;32296;143000;148049;-5049;0
15865;20532;143000;145015;-2015;0
14951;18060;143000;143644;-644;0
15511;25646;143000;146370;-3370;0
11967;15500;143000;140881;2118;1
14545;16187;143000;142795;204;1
10728;17783;143000;140774;2225;1
19793;20744;143000;147671;-4671;0
19074;22059;143000;147605;-4605;0
12635;17643;143000;141988;1011;1
16576;21009;143000;145632;-2632;0
15028;12755;143000;142047;952;1
15212;25356;143000;146083;-3083;0
17289;18232;143000;145239;-2239;0
13830;21218;143000;143886;-886;0
18663;25301;143000;148341;-5341;0
14334;26791;143000;145950;-2950;0
12721;17602;143000;142032;967;1
16892;22048;143000;146163;-3163;0
14619;19194;143000;143778;-778;0
10296;25130;143000;142771;228;1
18554;21998;143000;147243;-4243;0
14892;10728;143000;141328;1671;1
15043;12697;143000;142039;960;1
17198;17867;143000;145066;-2066;0
14879;20119;143000;144236;-1236;0
12750;25657;143000;144553;-1553;0
16499;13916;143000;143378;-378;0
12083;13420;143000;140312;2687;1
15927;20306;143000;144985;-1985;0
15454;18243;143000;144033;-1033;0
16768;20246;143000;145521;-2521;0
12536;19188;143000;142402;597;1
17832;21915;143000;146741;-3741;0
16024;21242;143000;145340;-2340;0
20484;18644;143000;147474;-4474;0
11802;17119;143000;141276;1723;1
14311;19100;143000;143545;-545;0
14803;20567;143000;144325;-1325;0
16028;31181;143000;148430;-5430;0
17367;25598;143000;147579;-4579;0
12918;21595;143000;143402;-402;0
14525;24406;143000;145335;-2335;0
16419;20775;143000;145456;-2456;0
14691;18175;143000;143509;-509;0
15380;12585;143000;142226;773;1
13058;24000;143000;144241;-1241;0
13256;15593;143000;141760;1239;1
12968;21703;143000;143468;-468;0
12170;11919;143000;139903;3096;1
15121;24557;143000;145775;-2775;0
13870;27432;143000;145843;-2843;0
13349;20166;143000;143242;-242;0
10578;24990;143000;142913;86;1
17166;18348;143000;145194;-2194;0
16224;25113;143000;146675;-3675;0
13973;23207;143000;144598;-1598;0
14697;20123;143000;144118;-1118;0
14236;27881;143000;146223;-3223;0
14024;23270;143000;144651;-1651;0
16709;17271;143000;144558;-1558;0
14873;16674;143000;143162;-162;0
17657;20243;143000;146107;-3107;0
11210;21678;143000;142301;698;1
14526;15715;143000;142636;363;1
14631;24528;143000;145442;-2442;0
13229;24384;143000;144473;-1473;0
14532;15889;143000;142694;305;1
18184;16005;143000;145138;-2138;0
14735;17019;143000;143178;-178;0
16127;10549;143000;142087;912;1
15600;21331;143000;145088;-2088;0
14821;26613;143000;146215;-3215;0
13853;24190;143000;144824;-1824;0
11744;20650;143000;142334;665;1
11531;19232;143000;141753;1246;1
19660;13992;143000;145486;-2486;0
12175;22512;143000;143197;-197;0
20269;24034;143000;149007;-6007;0
16317;20168;143000;145200;-2200;0
19576;20854;143000;147562;-4562;0
14888;22247;143000;144903;-1903;0
16841;11013;143000;142702;297;1
13903;21241;143000;143941;-941;0
19163;25967;143000;148878;-5878;0
10866;17603;143000;140809;2190;1
11692;22648;143000;142921;78;1
15513;22393;143000;145361;-2361;0
15319;24533;143000;145898;-2898;0
16579;17687;143000;144602;-1602;0
14215;19282;143000;143539;-539;0
13100;14999;143000;141473;1526;1
18146;20144;143000;146398;-3398;0
14590;22640;143000;144829;-1829;0
9489;18493;143000;140177;2822;1
11470;19942;143000;141934;1065;1
12898;19508;143000;142740;259;1
12947;23264;143000;143939;-939;0
14264;22201;143000;144478;-1478;0
15464;23093;143000;145546;-2546;0
15118;19148;143000;144092;-1092;0
11121;18108;143000;141134;1865;1
18700;9840;143000;143563;-563;0
16714;27627;143000;147779;-4779;0
18278;22787;143000;147306;-4306;0
17910;16425;143000;145087;-2087;0
20492;21756;143000;148446;-5446;0
19672;27748;143000;149767;-6767;0
13801;13316;143000;141412;1587;1
12565;15324;143000;141221;1778;1
16070;18840;143000;144624;-1624;0
10338;19999;143000;141205;1794;1
18882;16225;143000;145666;-2666;0
20637;20340;143000;148102;-5102;0
18080;17737;143000;145607;-2607;0
13876;13011;143000;141367;1632;1
18833;19024;143000;146503;-3503;0
13345;19459;143000;143020;-20;0
13383;26150;143000;145123;-2123;0
15712;19709;143000;144658;-1658;0
12270;22357;143000;143211;-211;0
12184;24425;143000;143797;-797;0
12629;12223;143000;140300;2699;1
18586;18791;143000;146268;-3268;0
17322;21269;143000;146204;-3204;0
15504;18888;143000;144266;-1266;0
