# X_0;X_1;X_2;X_3;X_4;X_5;X_6;X_7;X_8;X_9;X_10;X_11;X_12;R_0;R_1;R_2;S_0;S_1;S_2;G_0;G_1;G_2;I_0;I_1;I_2
198730344863.99;252756708.41;13423.44;1.02;1.10;136.60;5.70;101.55;6.96;140.98;930.42;115820.05;10015.86;32394.45;107400.49;0.01;1896.99;1032.54;0.00;-31105.92;-108908.81;-0.02;0.00;0.00;0.00
195584049824.33;261226800.06;11414.49;1.03;0.98;140.09;5.73;104.25;6.94;136.21;921.02;102092.44;10731.13;32347.17;114465.66;0.01;1613.09;878.00;0.00;-31606.23;-116571.11;-0.02;0.00;0.00;0.00
189289170614.94;245922937.03;14013.72;1.01;0.93;138.27;5.82;104.80;7.18;134.95;962.35;96791.17;11420.61;30169.27;107898.54;0.01;1980.39;1077.92;0.00;-28533.41;-107654.13;-0.02;0.00;0.00;0.00
217022259157.02;256537654.47;12232.95;0.99;0.93;137.63;5.94;104.74;7.04;141.85;913.02;116063.54;9358.15;33080.66;114467.38;0.01;1728.71;940.92;0.00;-31114.87;-112367.11;-0.01;0.00;0.00;0.00
182655560723.99;270886457.86;12173.75;0.95;0.89;140.09;5.73;103.64;6.94;143.75;934.87;99379.25;9961.79;35401.10;118575.15;0.01;1720.35;936.38;0.00;-32126.50;-111880.48;-0.01;0.00;0.00;0.00
178543192786.17;254493059.97;13269.39;1.04;1.04;133.11;6.03;101.51;7.35;138.51;933.60;108991.53;10057.53;32046.23;111506.35;0.01;1875.26;1020.69;0.00;-31451.16;-115173.54;-0.02;0.00;0.00;0.00
191146828145.07;265448397.83;12424.96;0.97;1.02;138.35;5.99;98.75;7.18;143.26;912.45;93263.48;9555.67;34571.35;119919.65;0.01;1755.84;955.69;0.00;-31865.53;-115746.03;-0.01;0.00;0.00;0.00
201987715497.28;267724417.61;12249.25;1.04;1.07;136.84;5.84;103.61;6.94;141.40;936.47;106497.29;10385.78;34414.12;116737.18;0.01;1731.09;942.23;0.00;-33953.73;-120454.48;-0.02;0.00;0.00;0.00
204130281622.83;239010580.21;12493.89;0.96;1.07;144.74;5.81;103.05;7.20;138.85;929.85;111493.19;8150.88;30170.38;109716.83;0.01;1765.60;961.00;0.00;-26939.78;-103787.71;-0.01;0.00;0.00;0.00
191439040240.96;258152674.54;11955.74;1.11;1.05;138.50;5.96;101.78;6.91;139.44;936.35;108559.11;9672.98;32724.52;116154.95;0.01;1689.54;919.62;0.00;-34666.27;-128371.81;-0.02;0.00;0.00;0.00
201163644762.65;241777451.29;13561.51;1.03;1.00;140.62;5.98;102.31;7.40;141.48;955.97;88634.47;10723.48;31097.23;110933.75;0.01;1916.53;1043.15;0.00;-30150.45;-113373.98;-0.02;0.00;0.00;0.00
194733145268.49;265332760.37;13410.38;1.03;0.95;137.92;5.75;100.31;7.01;136.90;917.05;95616.63;10049.26;33021.13;114746.97;0.01;1895.17;1031.54;0.00;-32255.18;-117381.55;-0.02;0.00;0.00;0.00
202572013907.71;248969547.39;13148.02;1.00;0.99;139.78;5.80;99.99;7.24;141.29;960.29;98993.90;7440.30;31979.49;110004.19;0.01;1858.13;1011.38;0.00;-30254.34;-109375.82;-0.02;0.00;0.00;0.00
224044658538.32;260452902.55;12995.46;0.94;1.01;139.48;5.69;100.27;6.98;135.07;941.55;98682.12;9991.46;31981.09;112821.26;0.01;1836.50;999.62;0.00;-28341.45;-105507.79;-0.01;0.00;0.00;0.00
202789486721.80;244971659.57;11594.32;1.01;1.02;142.39;5.79;100.17;6.91;138.60;949.74;111731.72;7501.16;30866.67;110243.57;0.01;1638.50;891.85;0.00;-29465.02;-110287.18;-0.02;0.00;0.00;0.00
214191340918.87;260450594.94;10219.19;0.98;1.12;136.17;5.87;102.21;7.31;134.00;928.28;105570.24;8759.40;31728.49;113638.81;0.01;1444.21;786.08;0.00;-29349.87;-110048.55;-0.01;0.00;0.00;0.00
202826900723.80;242628419.49;12353.52;1.03;0.93;138.39;5.81;98.61;7.07;138.35;944.60;105717.04;10327.90;30516.32;106329.36;0.01;1745.77;950.23;0.00;-29845.68;-108781.14;-0.02;0.00;0.00;0.00
205413958856.61;239577025.40;13622.88;0.94;0.98;138.67;5.70;102.92;7.32;141.32;941.90;93468.23;12153.86;30778.57;103362.86;0.01;1925.14;1047.85;0.00;-27107.28;-96344.74;-0.01;0.00;0.00;0.00
