# X_0;X_1;X_2;X_3;X_4;X_5;X_6;X_7;X_8;X_9;X_10;R_0;R_1;R_2;R_3;R_4;R_5;R_6;R_7;R_8;R_9;R_10;R_11;R_12;R_13;R_14;S_0;S_1;S_2;S_3;S_4;S_5;S_6;S_7;S_8;S_9;S_10;S_11;S_12;S_13;S_14;G_0;G_1;G_2;G_3;G_4;G_5;G_6;G_7;G_8;G_9;G_10;G_11;G_12;G_13;G_14;I_0;I_1;I_2;I_3;I_4;I_5;I_6;I_7;I_8;I_9;I_10;I_11;I_12;I_13;I_14
193695214141.73;217088033.32;17836.26;1.04;0.97;136.69;5.79;99.64;6.69;141.69;973.35;29123.80;29123.80;29123.80;29123.80;29123.80;97626.07;97626.07;97626.07;97626.07;97626.07;0.02;0.02;0.02;0.02;0.02;17977.74;18501.70;18252.34;18252.34;18903.16;17260.76;17260.76;17260.76;17260.76;17260.76;-0.00;-0.00;-0.00;-0.00;-0.00;-11146.07;-10622.11;-10871.47;-10871.47;-10220.64;-80365.31;-80365.31;-80365.31;-80365.31;-80365.31;-0.02;-0.02;-0.02;-0.02;-0.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
180564374032.07;296887737.47;19050.33;0.95;1.01;141.75;5.79;98.06;7.53;147.33;1006.62;37879.94;37879.94;37879.94;37879.94;37879.94;126505.77;126505.77;126505.77;126505.77;126505.77;0.01;0.01;0.01;0.01;0.01;19995.08;20578.10;20300.22;20300.22;21024.64;19197.67;19197.67;19197.67;19197.67;19197.67;-0.00;-0.00;-0.00;-0.00;-0.00;-17884.86;-17301.83;-17579.72;-17579.72;-16855.30;-107308.10;-107308.10;-107308.10;-107308.10;-107308.10;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
196313259464.28;249771899.30;17406.58;0.97;1.03;131.84;6.33;103.06;7.25;142.71;918.91;31385.53;31385.53;31385.53;31385.53;31385.53;110072.59;110072.59;110072.59;110072.59;110072.59;0.01;0.01;0.01;0.01;0.01;18657.36;19201.94;18941.53;18941.53;19618.64;17913.37;17913.37;17913.37;17913.37;17913.37;-0.00;-0.00;-0.00;-0.00;-0.00;-12728.17;-12183.59;-12444.00;-12444.00;-11766.89;-92159.22;-92159.22;-92159.22;-92159.22;-92159.22;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
202046688347.90;248242453.42;22028.81;1.03;0.93;149.42;5.59;107.18;7.30;140.32;970.21;32653.53;32653.53;32653.53;32653.53;32653.53;116665.89;116665.89;116665.89;116665.89;116665.89;0.02;0.02;0.02;0.02;0.02;21420.80;22045.89;21747.20;21747.20;22524.30;20566.59;20566.59;20566.59;20566.59;20566.59;-0.00;-0.00;-0.00;-0.00;-0.00;-11232.73;-10607.64;-10906.33;-10906.33;-10129.23;-96099.29;-96099.29;-96099.29;-96099.29;-96099.29;-0.02;-0.02;-0.02;-0.02;-0.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
198913720798.69;247691738.90;18384.45;0.95;1.03;139.29;5.65;110.62;7.34;141.64;956.20;30313.39;30313.39;30313.39;30313.39;30313.39;101108.33;101108.33;101108.33;101108.33;101108.33;0.01;0.01;0.01;0.01;0.01;19766.19;20343.10;20067.27;20067.27;20784.56;18977.97;18977.97;18977.97;18977.97;18977.97;-0.00;-0.00;-0.00;-0.00;-0.00;-10547.21;-9970.29;-10246.13;-10246.13;-9528.83;-82130.36;-82130.36;-82130.36;-82130.36;-82130.36;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
211339238929.33;243823732.58;18094.96;0.99;1.02;138.19;5.86;98.48;6.79;149.39;996.68;32928.47;32928.47;32928.47;32928.47;32928.47;107015.08;107015.08;107015.08;107015.08;107015.08;0.01;0.01;0.01;0.01;0.01;19227.94;19788.25;19521.72;19521.72;20217.63;18461.09;18461.09;18461.09;18461.09;18461.09;-0.00;-0.00;-0.00;-0.00;-0.00;-13700.53;-13140.22;-13406.74;-13406.74;-12710.84;-88553.99;-88553.99;-88553.99;-88553.99;-88553.99;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
199166966188.79;264796761.89;18690.17;1.04;1.00;126.29;5.96;98.11;7.16;156.14;912.82;38905.97;38905.97;38905.97;38905.97;38905.97;112533.13;112533.13;112533.13;112533.13;112533.13;0.02;0.02;0.02;0.02;0.02;19501.21;20070.04;19798.61;19798.61;20505.56;18723.53;18723.53;18723.53;18723.53;18723.53;-0.00;-0.00;-0.00;-0.00;-0.00;-19404.75;-18835.93;-19107.35;-19107.35;-18400.41;-93809.61;-93809.61;-93809.61;-93809.61;-93809.61;-0.02;-0.02;-0.02;-0.02;-0.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
194297713940.60;248847188.25;19719.39;1.02;0.94;140.47;5.79;98.29;6.94;148.36;842.74;34299.39;34299.39;34299.39;34299.39;34299.39;112821.26;112821.26;112821.26;112821.26;112821.26;0.02;0.02;0.02;0.02;0.02;19304.83;19868.41;19598.75;19598.75;20299.57;18535.03;18535.03;18535.03;18535.03;18535.03;-0.00;-0.00;-0.00;-0.00;-0.00;-14994.56;-14430.98;-14700.64;-14700.64;-13999.82;-94286.24;-94286.24;-94286.24;-94286.24;-94286.24;-0.02;-0.02;-0.02;-0.02;-0.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
199098517269.17;239677630.94;21562.16;1.01;0.96;146.57;5.63;94.33;7.20;139.18;929.80;30695.77;30695.77;30695.77;30695.77;30695.77;109185.76;109185.76;109185.76;109185.76;109185.76;0.02;0.02;0.02;0.02;0.02;21636.39;22267.45;21966.39;21966.39;22750.65;20773.55;20773.55;20773.55;20773.55;20773.55;-0.00;-0.00;-0.00;-0.00;-0.00;-9059.38;-8428.32;-8729.38;-8729.38;-7945.12;-88412.21;-88412.21;-88412.21;-88412.21;-88412.21;-0.02;-0.02;-0.02;-0.02;-0.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
180733558805.80;229830285.74;19058.44;1.02;0.94;146.19;5.85;99.90;7.09;135.72;935.82;28820.46;28820.46;28820.46;28820.46;28820.46;108939.25;108939.25;108939.25;108939.25;108939.25;0.02;0.02;0.02;0.02;0.02;18731.13;19277.63;19016.64;19016.64;19695.96;17984.17;17984.17;17984.17;17984.17;17984.17;-0.00;-0.00;-0.00;-0.00;-0.00;-10089.33;-9542.83;-9803.82;-9803.82;-9124.50;-90955.08;-90955.08;-90955.08;-90955.08;-90955.08;-0.02;-0.02;-0.02;-0.02;-0.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
