# X_0;X_1;X_2;X_3;X_4;X_5;X_6;X_7;X_8;X_9;X_10;R_0;R_1;R_2;S_0;S_1;S_2;G_0;G_1;G_2;I_0;I_1;I_2
192335655498.81;266984976.47;18252.86;0.97;0.97;139.77;5.62;100.22;7.20;133.52;958.42;31319.68;110475.29;0.01;19431.61;17747.47;0.00;-11888.07;-92727.82;-0.01;0.00;0.00;0.00
200151977781.17;256282077.08;20009.43;1.02;0.99;123.36;6.18;94.42;7.20;144.12;953.25;34104.44;108196.60;0.02;21706.45;19825.16;0.00;-12397.98;-88371.45;-0.02;0.00;0.00;0.00
190851059276.83;271704510.11;19801.39;1.00;1.02;124.38;5.51;103.61;7.23;144.84;895.01;35828.46;101659.43;0.02;22114.70;20198.02;0.00;-13713.76;-81461.41;-0.02;0.00;0.00;0.00
204024774405.82;243588646.75;18850.07;0.96;1.01;144.59;6.35;100.10;6.76;143.81;1005.03;30428.26;116550.98;0.01;20799.17;18996.51;0.00;-9629.09;-97554.48;-0.01;0.00;0.00;0.00
181623458849.96;264187289.22;19340.57;1.05;0.94;138.41;5.75;104.95;7.01;136.10;986.43;34382.46;120675.37;0.02;19914.23;18188.27;0.00;-14468.23;-102487.11;-0.02;0.00;0.00;0.00
237916596556.36;230177591.44;22092.18;1.01;1.03;140.49;5.52;100.52;7.26;139.69;969.72;29439.96;98088.55;0.02;24975.72;22811.07;0.00;-4464.24;-75277.48;-0.02;0.00;0.00;0.00
206729996409.81;256648860.14;17254.86;0.97;0.94;147.00;5.66;107.49;6.79;134.22;877.00;30252.76;112511.65;0.01;17727.80;16191.33;0.00;-12524.95;-96320.31;-0.01;0.00;0.00;0.00
189636487823.82;257398838.05;23614.08;0.96;1.01;139.28;5.81;99.89;6.87;154.81;1012.97;34911.41;109580.22;0.01;26021.40;23766.13;0.00;-8890.00;-85814.09;-0.01;0.00;0.00;0.00
193889712600.13;241611307.33;22426.17;1.02;1.00;123.47;5.54;98.17;7.22;122.14;971.28;27431.49;92100.49;0.02;24655.70;22518.79;0.00;-2775.78;-69581.70;-0.02;0.00;0.00;0.00
193194418686.75;266316193.12;22163.89;1.05;0.98;148.58;5.85;99.11;7.09;135.67;922.23;34618.44;133105.71;0.02;23833.81;21768.13;0.00;-10784.63;-111337.58;-0.02;0.00;0.00;0.00
196725477781.38;228172341.63;22845.02;1.01;0.99;139.92;6.02;95.84;7.37;141.52;950.75;29725.96;106119.53;0.02;24726.06;22583.05;0.00;-4999.89;-83536.48;-0.02;0.00;0.00;0.00
207076374336.03;236620268.97;20058.04;1.01;1.05;146.32;5.76;100.98;7.16;134.26;955.32;29314.25;110368.18;0.02;23023.16;21027.74;0.00;-6291.09;-89340.43;-0.02;0.00;0.00;0.00
214111089776.71;233900961.29;22736.09;0.99;0.99;152.28;5.74;106.46;7.84;140.37;902.12;29676.69;110889.44;0.01;24523.95;22398.45;0.00;-5152.75;-88490.98;-0.01;0.00;0.00;0.00
203463369234.93;226051526.39;19599.68;1.02;0.94;122.67;5.59;96.45;6.88;127.80;916.50;26817.32;86343.06;0.02;20160.59;18413.27;0.00;-6656.73;-67929.79;-0.02;0.00;0.00;0.00
214522396879.15;224148973.62;18108.31;0.98;1.04;128.19;5.66;106.92;8.08;138.07;883.37;27669.56;87289.12;0.01;20686.94;18894.00;0.00;-6982.62;-68395.12;-0.01;0.00;0.00;0.00
192297678711.52;270822187.10;20707.17;1.01;0.97;137.09;5.96;96.47;7.63;132.05;887.27;32787.92;121630.90;0.02;21925.51;20025.23;0.00;-10862.41;-101605.68;-0.02;0.00;0.00;0.00
213096951420.54;261757541.71;20358.85;0.94;1.01;140.96;6.05;91.71;7.92;134.19;881.10;30160.84;115072.28;0.01;22623.19;20662.43;0.00;-7537.65;-94409.85;-0.01;0.00;0.00;0.00
203420483345.05;255010969.87;19894.38;0.99;1.01;131.01;6.29;106.67;7.46;138.95;916.56;31868.60;113343.59;0.01;21987.45;20081.79;0.00;-9881.16;-93261.79;-0.01;0.00;0.00;0.00
213893554094.31;251724785.26;19749.02;1.00;1.00;137.15;5.58;104.14;6.76;131.54;936.05;30167.64;105322.78;0.02;21556.80;19688.47;0.00;-8610.84;-85634.31;-0.02;0.00;0.00;0.00
199700121028.88;220484147.88;20247.57;0.98;1.02;136.92;5.99;101.96;7.22;141.46;1014.19;27861.88;96857.01;0.01;22604.73;20645.58;0.00;-5257.15;-76211.43;-0.01;0.00;0.00;0.00
193627025900.17;270976310.05;21992.72;1.00;1.02;141.54;5.51;103.17;6.74;143.77;898.46;35319.71;114925.60;0.01;24564.73;22435.70;0.00;-10754.98;-92489.90;-0.01;0.00;0.00;0.00
