# X_0;X_1;X_2;R_0;R_1;S_0;S_1;G_0;G_1;I_0;I_1
392;1015;3;3;3;1;2;-1;-1;0;0
579;755;2;2;2;2;2;0;0;1;0
526;1112;2;2;3;2;2;0;0;0;0
510;991;3;3;3;2;2;0;-1;0;0
614;973;2;2;2;2;2;0;0;1;0
417;868;2;2;3;1;2;0;-1;0;0
572;945;3;3;3;2;2;0;0;0;0
470;963;3;3;3;2;2;0;-1;0;0
759;864;3;3;3;3;3;0;0;1;1
302;986;2;2;3;1;1;-1;-1;0;0
637;862;3;3;3;2;2;0;0;0;0
492;1152;2;2;3;2;2;0;0;0;0
536;936;3;3;3;2;2;0;0;0;0
605;856;2;2;2;2;2;0;0;0;0
448;998;2;2;3;2;2;0;0;0;0
604;1113;3;3;3;2;2;0;0;0;0
428;797;2;2;3;1;2;0;0;0;0
487;801;2;2;3;2;2;0;0;0;0
401;1090;3;3;3;2;2;-1;-1;0;0
406;1144;2;2;2;2;2;0;0;0;0
617;1087;3;3;3;2;2;0;0;0;0
391;1233;3;3;3;2;2;-1;-1;0;0
517;1219;3;3;3;2;2;0;-1;0;0
408;844;2;2;3;1;2;0;-1;0;0
603;875;2;2;3;2;2;0;0;0;0
482;984;2;2;3;2;2;0;0;0;0
459;1133;2;2;2;2;2;0;0;0;0
590;815;2;2;2;2;2;0;0;1;1
303;845;3;3;3;1;1;-1;-1;0;0
623;874;2;2;3;2;2;0;0;0;0
579;1173;3;3;3;2;2;0;0;0;0
365;1026;2;2;3;1;1;0;-1;0;0
528;975;2;2;3;2;2;0;0;0;0
641;1095;2;2;3;2;3;0;0;0;0
434;894;3;3;3;2;2;-1;-1;0;0
571;1023;3;3;3;2;2;0;0;0;0
610;1146;2;2;3;2;2;0;0;0;0
596;1000;2;2;3;2;2;0;0;0;0
394;1073;2;2;2;1;2;0;0;0;0
429;915;2;2;2;2;2;0;0;0;0
333;1027;3;3;3;1;1;-1;-2;0;0
374;977;3;3;3;1;1;-1;-1;0;0
497;1213;2;2;2;2;2;0;0;0;0
586;982;2;2;3;2;2;0;0;0;0
556;1140;3;3;3;2;2;0;0;0;0
489;1008;3;3;3;2;2;0;0;0;0
643;1073;3;3;3;2;3;0;0;0;0
550;735;2;2;3;2;2;0;0;0;0
430;1024;3;3;3;2;2;-1;-1;0;0
517;1056;2;2;2;2;2;0;0;0;0
359;1014;2;2;2;1;1;0;-1;0;0
334;999;3;3;3;1;1;-1;-1;0;0
537;818;2;2;2;2;2;0;0;0;0
325;866;3;3;3;1;1;-1;-1;0;0
459;1040;3;3;3;2;2;0;-1;0;0
510;885;2;2;3;2;2;0;0;0;0
349;1143;2;2;3;1;1;0;-1;0;0
532;864;2;2;3;2;2;0;0;0;0
464;1173;3;3;3;2;2;0;-1;0;0
425;1041;3;3;3;2;2;-1;-1;0;0
541;1055;2;2;3;2;2;0;0;0;0
662;1180;2;2;3;3;3;0;0;1;1
579;862;3;3;3;2;2;0;0;0;0
523;1117;2;2;3;2;2;0;0;0;0
430;986;3;3;3;2;2;-1;-1;0;0
423;970;2;2;2;2;2;0;0;0;0
453;1006;3;3;3;2;2;-1;-1;0;0
444;915;2;2;3;2;2;0;-1;0;0
487;917;3;3;3;2;2;0;-1;0;0
422;979;2;2;2;2;2;0;0;0;0
370;1048;2;2;2;1;1;0;0;0;0
313;1234;2;2;3;1;1;-1;-1;0;0
478;919;3;3;3;2;2;-1;-1;0;0
588;848;3;3;3;2;2;0;0;0;0
621;948;2;2;3;2;2;0;0;1;0
465;811;3;3;3;2;2;0;-1;0;0
412;807;3;3;3;1;2;-1;-1;0;0
561;998;3;3;3;2;2;0;0;0;0
428;1163;2;2;3;2;2;0;0;0;0
458;969;2;2;3;2;2;0;0;0;0
114;948;2;2;3;1;1;-1;-2;0;0
539;1039;2;2;3;2;2;0;0;0;0
309;881;3;3;3;1;1;-1;-1;0;0
587;1133;2;2;3;2;2;0;0;0;0
641;1213;3;3;3;2;3;0;0;0;0
561;991;3;3;3;2;2;-1;-1;0;0
495;967;3;3;3;2;2;0;-1;0;0
574;976;2;2;3;2;2;0;0;0;0
371;1070;2;2;3;1;2;0;-1;0;0
551;889;3;3;3;2;2;-1;-1;0;0
731;974;3;3;4;3;3;0;0;0;0
537;927;2;2;2;2;2;0;0;0;0
535;1146;2;2;2;2;2;0;0;0;0
495;1010;2;2;2;2;2;0;0;0;0
610;1037;2;2;3;2;2;0;0;0;0
722;979;3;3;3;3;3;0;0;0;0
392;921;2;2;3;1;1;0;-1;0;0
522;986;3;3;3;2;2;0;0;0;0
539;1153;3;3;3;2;2;0;0;0;0
522;969;2;2;3;2;2;0;0;0;0
703;1064;3;3;3;3;3;0;0;0;0
313;992;3;3;3;1;1;-1;-1;0;0
434;1248;2;2;3;2;2;0;0;0;0
482;1011;2;2;2;2;2;0;0;0;0
658;942;3;3;3;2;3;0;0;0;0
411;1191;3;3;3;2;2;-1;-1;0;0
496;777;3;3;3;2;2;0;0;0;0
454;940;2;2;3;2;2;0;0;0;0
440;850;2;2;2;2;2;0;0;0;0
551;1051;3;3;3;2;2;0;0;0;0
423;1058;3;3;3;2;2;-1;-1;0;0
369;918;2;2;3;1;1;-1;-1;0;0
